canal,viable2d_EQ-RC,viable2d_beta,viable2d_gamma,wz_GHz_gamma,A_DC_gamma,c_post_gamma
FR-4,27.3±0.6,27.9±0.7,27.3±1.2,1.28,1.31,-0.258
Megtron 6,32.0±0.0,32.0±0.0,32.0±0.0,2.41,2.44,-0.083
